Component,Mass tonne,Lift height m,Surface area sq m,Coeff drag,Coeff drag (installed),Section height m,Lever arm m,Cycle time installation hrs,Offload hook height m,Offload cycle time hrs,Multplier drag rotor,Multiplier tower drag
IEA 3.6-130 Bedplate,80,82,32,0.7,0.7,0,85,2,6,0.5,1,0
IEA 3.6-130 Drivetrain,80,86,20,0.9,0.9,0,85,2,6,0.5,0,0
Hub,35,80,12.16,1.1,1.1,0,85,1,6,0.5,0,0
Blade 1,17,80,34,0.1,1.4,0,85,1,6,0.5,0.666666667,0
Blade 2,17,80,34,0.1,1.4,0,85,1,6,0.5,0.666666667,0
Blade 3,17,80,34,0.1,1.4,0,85,1,6,0.5,0.666666667,0
Tower section 1,65,20,85,0.6,1.1,20,10,1,6,0.5,0,1
Tower section 2,55,40,85,0.6,1.1,20,30,1,6,0.5,0,1
Tower section 3,45,60,85,0.6,1.1,20,50,1,6,0.5,0,1
Tower section 4,40,85,90,0.6,1.1,25,72.5,1,6,0.5,0,1
