Equipment name,Crane name,Boom system,Crane capacity tonne,Speed of travel km per hr,Hoist speed m per min,Crew type ID,Equipment ID,Setup time hr,Max wind speed m per s,Hub height m,Max capacity tonne,Radius m,Hook Height m,Mobilization cost USD
Offload crane,LB 75,Hydraulic,75,40,60,C0,OL1,0,10,12.5,38,5.4,12.5,99
Offload crane,LB 258,Hydraulic,200,40,60,C0,OL2,0,10,48,63,11,48,99
Crawler crane,M999,22EL,275,2,20,C1,B1,0,9,57,67,14,57,99
Crawler crane,LR1500,SL3F,500,2,20,C1,E1,0,9,80,102,16,94,99
Crawler crane,LR1500,SL3F,500,2,20,C1,E1,0,9,85,95,16,100,99
Crawler crane,LR1500,SL3F,500,2,20,C1,E1,0,9,90,87,16,106,99
Crawler crane,LR1500,SL3F,500,2,20,C1,E1,0,9,100,77,18,112,99
Crawler crane,LR1500,SL4DFB + Derrick,500,2,20,C1,E1,2,9,80,112,16,94,99
Crawler crane,LR1500,SL4DFB + Derrick,500,2,20,C1,E1,2,9,90,105,16,100,99
Crawler crane,LR1500,SL4DFB + Derrick,500,2,20,C1,E1,2,9,100,90,16,112,99
Crawler crane,LR1500,SL4DFB + Derrick,500,2,20,C1,E1,2,9,120,74,18,130,99
Crawler crane,LR1500,SL4DFB + Derrick,500,2,20,C1,E1,2,9,130,60,20,142,99
Crawler crane,LR1600/2,SL8F3,600,2,20,C2,E2,0,9,80,137,18,93,99
Crawler crane,LR1600/2,SL8F3,600,2,20,C2,E2,0,9,100,118,18,114,99
Crawler crane,LR1600/2,SL3F,600,2,20,C2,E2,0,9,105,93,18,117,99
Crawler crane,LR1600/2,HSL4DF + Derrick boom,600,2,20,C2,E2,2,9,120,87,20,135,99
Crawler crane,LR1600/2,SL13DFB + Derrick ,600,2,20,C2,E2,2,9,135,96,20,147,99
Crawler crane,LR1600/2,SL13DFB + Derrick ,600,2,20,C2,E2,2,9,140,87,24,152,99
Crawler crane,LR1600/2,SL13DFB2 + Derrick ,600,2,20,C2,E2,2,9,150,71,24,164,99
Crawler crane,LR1750/2,HSL8HS,750,2,20,C3,E3,0,9,80,111,18,101,99
Crawler crane,LR1500/2,HSL8HS,750,2,20,C3,E3,0,9,95,110,18,109,99
Crawler crane,LR1750/2,HSL7DHS,750,2,20,C3,E3,2,9,120,108,18,136,99
Crawler crane,LR1750/2,HSL7DHS,750,2,20,C3,E3,2,9,130,98,18,147,99
Crawler crane,LR1500/2,HSL7DHS,750,2,20,C3,E3,2,9,140,89,22,152,99
Crawler crane,LR1750/2,SX3D4F2B Derrick (walk),750,2,20,C3,E3,0,9,140,141,28,154,99
Crawler crane,LR1750/2,SX3D4F2B Derrick (walk),750,2,20,C3,E3,0,9,150,118,28,165,99
Crawler crane,LR11000,SL3F,1000,1,25,C4,E4,3,9,100,179,18,114,99
Crawler crane,LR11000,SL3F,1000,1,25,C4,E4,3,9,110,152,18,120,99
Crawler crane,LR11000,SL2DFB,1000,1,25,C4,E4,3,9,120,179,20,132,99
Crawler crane,LR11000,SL2DFB,1000,1,25,C4,E4,3,9,140,133,18,136,99
Crawler crane,LR11000,SL2DFB,1000,1,25,C4,E4,3,9,150,154,18,147,99
Crawler crane,LR11000,SL2DFB,1000,1,25,C4,E4,3,9,155,140,22,152,99
Crawler crane,LR11000,SL2DFB,1000,1,25,C4,E4,3,9,160,120,26,174,99
Crawler crane,LR11000,SL2DFB,1000,1,25,C4,E4,3,9,180,73,22,192,99
Crawler crane,LR11000,SL2DFB,1000,1,25,C4,E4,3,9,185,54,34,198,99
Crawler crane,LR11000,PDW3B Derrick,1000,1,25,C4,E4,6,9,130,227,28,147,99
Crawler crane,LR11000,PDW3B2 Derrick,1000,1,25,C4,E4,6,9,165,142,26,174,99
