Crew type ID,Operation,Crew type,Crew name,Labor type ID,Number of workers
M0,Management,M0,Management - project size,Project manager,1
M0,Management,M0,Management - project size,Site manager,1
M0,Management,M0,Management - project size,Construction manager,1
M0,Management,M0,Management - project size,Project engineer,1
M0,Management,M0,Management - project size,Safety or qc manager,1
M0,Management,M0,Management - project size,Logistics manager,1
M0,Management,M0,Management - project size,Office admin,1
M1,Management,M1,Management - rate construction,Tool room,1
M1,Management,M1,Management - rate construction,Electrician,2
MC0,Mechanical completion,MC0,Mechanical completion,QC/QA tech,2
MC0,Mechanical completion,MC0,Mechanical completion,Electrician,1
C0,Offload,Off1,Offload  can tower,Crane operator,2
C0,Offload,Off1,Offload  can tower,Oiler,2
C0,Offload,Off1,Offload  can tower,Iron worker,3
C0,Offload,Off1,Offload  can tower,Rigger foreman,1
,Base,B1,Base 300t,Crane operator,2
,Base,B1,Base 300t,Oiler,2
,Base,B1,Base 300t,Iron worker,3
,Base,B1,Base 300t,Truck driver,1
,Base,B1,Base 300t,Rigger foreman,1
,Base,B2,Base 400t,Crane operator,2
,Base,B2,Base 400t,Oiler,2
,Base,B2,Base 400t,Iron worker,3
,Base,B2,Base 400t,Truck driver,1
,Base,B2,Base 400t,Rigger foreman,1
C1,Base,B3,Base 500t,Crane operator,2
C1,Base,B3,Base 500t,Oiler,2
C1,Base,B3,Base 500t,Iron worker,3
C1,Base,B3,Base 500t,Truck driver,1
C1,Base,B3,Base 500t,Rigger foreman,1
,Top,T1,Top 400t,Crane operator,2
,Top,T1,Top 400t,Oiler,2
,Top,T1,Top 400t,Iron worker,6
,Top,T1,Top 400t,Truck driver,1
,Top,T1,Top 400t,Rigger foreman,1
C1,Top,T2,Top 500t,Crane operator,2
C1,Top,T2,Top 500t,Oiler,2
C1,Top,T2,Top 500t,Iron worker,6
C1,Top,T2,Top 500t,Truck driver,1
C1,Top,T2,Top 500t,Rigger foreman,1
C2,Top,T3,Top 600t,Crane operator,2
C2,Top,T3,Top 600t,Oiler,2
C2,Top,T3,Top 600t,Iron worker,6
C2,Top,T3,Top 600t,Truck driver,1
C2,Top,T3,Top 600t,Rigger foreman,1
C3,Top,T4,Top 750t,Crane operator,2
C3,Top,T4,Top 750t,Oiler,2
C3,Top,T4,Top 750t,Iron worker,6
C3,Top,T4,Top 750t,Truck driver,1
C3,Top,T4,Top 750t,Rigger foreman,1
C4,Top,T5,Top 1000t,Crane operator,2
C4,Top,T5,Top 1000t,Oiler,2
C4,Top,T5,Top 1000t,Iron worker,6
C4,Top,T5,Top 1000t,Truck driver,1
C4,Top,T5,Top 1000t,Rigger foreman,1
