,71444,city??,Iowa,United States,2012,42.141941,-93.429169,Not Available,1,8760
,WTK data from NREL downloaded  2018-1-25,,,,,,,,,
,Temperature,Pressure,Direction,Speed,,,,,,
,C,atm,Degrees,m/s,,,,,,
,100,100,100,100,,,,,,
1/1/2012 12:00,2.444,0.95205318,185,8.681,,,,,,
1/1/2012 13:00,1.655,0.95227456,270,7.234,,,,,,
1/1/2012 14:00,2.512,0.9524854,322,12.898,,,,,,
1/1/2012 15:00,2.589,0.953325,321,14.795,,,,,,
1/1/2012 16:00,1.534,0.95440628,323,15.076,,,,,,
1/1/2012 17:00,1.014,0.95551016,322,15.53,,,,,,
1/1/2012 18:00,1.456,0.95675709,328,16.156,,,,,,
1/1/2012 19:00,0.848,0.95851909,327,16.546,,,,,,
1/1/2012 20:00,-0.21,0.96056872,325,17.239,,,,,,
1/1/2012 21:00,-0.98,0.96259875,325,17.64,,,,,,
1/1/2012 22:00,-1.534,0.96437656,323,16.924,,,,,,
1/1/2012 23:00,-1.775,0.96616039,322,16.477,,,,,,
1/2/2012 0:00,-1.926,0.96765806,315,13.976,,,,,,
1/2/2012 1:00,-1.908,0.9683847,307,13.768,,,,,,
1/2/2012 2:00,-1.586,0.96914447,305,14.286,,,,,,
1/2/2012 3:00,-0.776,0.96987411,306,15.094,,,,,,
1/2/2012 4:00,-0.184,0.97023251,306,16.28,,,,,,
1/2/2012 5:00,0.207,0.97040946,304,17.05,,,,,,
1/2/2012 6:00,0.486,0.97086953,305,17.189,,,,,,
1/2/2012 7:00,0.549,0.97123702,305,17.781,,,,,,
1/2/2012 8:00,0.377,0.97206002,304,17.759,,,,,,
1/2/2012 9:00,-0.146,0.9728627,305,16.76,,,,,,
1/2/2012 10:00,-1.107,0.9735622,303,15.335,,,,,,
1/2/2012 11:00,-1.719,0.97425346,304,14.696,,,,,,
1/2/2012 12:00,-2.103,0.9749899,308,14.953,,,,,,
1/2/2012 13:00,-2.469,0.97546051,309,15.785,,,,,,
1/2/2012 14:00,-2.978,0.97608247,317,15.145,,,,,,
1/2/2012 15:00,-3.546,0.97618864,321,16.826,,,,,,
1/2/2012 16:00,-4.085,0.97646649,322,16.831,,,,,,
1/2/2012 17:00,-4.466,0.97669692,322,16.986,,,,,,
1/2/2012 18:00,-4.76,0.97714946,322,16.197,,,,,,
1/2/2012 19:00,-5.003,0.97759297,322,15.708,,,,,,
1/2/2012 20:00,-5.274,0.97774505,320,16.071,,,,,,
1/2/2012 21:00,-5.663,0.97796795,319,15.357,,,,,,
1/2/2012 22:00,-6.094,0.97797398,320,15.675,,,,,,
1/2/2012 23:00,-6.48,0.97835573,318,14.927,,,,,,
1/3/2012 0:00,-6.87,0.97878418,319,14.5,,,,,,
1/3/2012 1:00,-7.399,0.97922016,321,14.58,,,,,,
1/3/2012 2:00,-7.734,0.97958009,324,15.337,,,,,,
1/3/2012 3:00,-7.565,0.9801117,326,15.701,,,,,,
1/3/2012 4:00,-7.271,0.98040986,327,14.767,,,,,,
1/3/2012 5:00,-6.756,0.98066889,327,13.642,,,,,,
1/3/2012 6:00,-6.253,0.98074572,328,12.989,,,,,,
1/3/2012 7:00,-5.944,0.98096784,328,12.635,,,,,,
1/3/2012 8:00,-5.866,0.98114328,326,12.063,,,,,,
1/3/2012 9:00,-6.127,0.98135563,324,11.217,,,,,,
1/3/2012 10:00,-6.751,0.98125247,322,10.325,,,,,,
1/3/2012 11:00,-7.216,0.98120578,324,10.073,,,,,,
1/3/2012 12:00,-7.573,0.98163873,327,8.953,,,,,,
1/3/2012 13:00,-7.913,0.98171554,328,8.585,,,,,,
1/3/2012 14:00,-8.254,0.98163498,332,7.567,,,,,,
1/3/2012 15:00,-8.648,0.98139628,339,6.513,,,,,,
1/3/2012 16:00,-9.111,0.98113574,340,5.29,,,,,,
1/3/2012 17:00,-9.48,0.98090986,340,3.937,,,,,,
1/3/2012 18:00,-9.752,0.98071407,338,2.333,,,,,,
1/3/2012 19:00,-9.967,0.9803165,343,0.905,,,,,,
1/3/2012 20:00,-10.274,0.97971636,183,1.114,,,,,,
1/3/2012 21:00,-10.41,0.97911924,191,3.267,,,,,,
1/3/2012 22:00,-10.208,0.97834065,185,4.62,,,,,,
1/3/2012 23:00,-10.011,0.97763735,185,6.183,,,,,,
1/4/2012 0:00,-9.801,0.97713437,184,7.552,,,,,,
1/4/2012 1:00,-9.678,0.97636331,181,8.497,,,,,,
1/4/2012 2:00,-9.055,0.97551545,180,9.385,,,,,,
1/4/2012 3:00,-7.783,0.9744545,180,8.741,,,,,,
1/4/2012 4:00,-6.372,0.97324971,179,8.657,,,,,,
1/4/2012 5:00,-4.903,0.97170987,178,8.891,,,,,,
1/4/2012 6:00,-3.425,0.97012633,176,9.193,,,,,,
1/4/2012 7:00,-2.102,0.96871976,176,9.696,,,,,,
1/4/2012 8:00,-1.254,0.96752628,179,9.62,,,,,,
1/4/2012 9:00,-1.074,0.96675597,182,9.175,,,,,,
1/4/2012 10:00,-1.764,0.96637272,185,9.194,,,,,,
1/4/2012 11:00,-1.855,0.96618296,189,9.976,,,,,,
1/4/2012 12:00,-1.559,0.96596761,197,9.719,,,,,,
1/4/2012 13:00,-1.29,0.96553464,206,9.528,,,,,,
1/4/2012 14:00,-1.885,0.96509339,216,9.257,,,,,,
1/4/2012 15:00,-1.947,0.96457911,233,9.639,,,,,,
1/4/2012 16:00,-2.338,0.96420938,254,9.983,,,,,,
1/4/2012 17:00,-2.914,0.96395035,278,10.387,,,,,,
1/4/2012 18:00,-3.154,0.96416796,298,11.144,,,,,,
1/4/2012 19:00,-2.528,0.96463634,311,11.773,,,,,,
1/4/2012 20:00,-2.824,0.96530722,318,12.094,,,,,,
1/4/2012 21:00,-2.629,0.96590585,321,12.285,,,,,,
1/4/2012 22:00,-2.208,0.9666227,324,11.857,,,,,,
1/4/2012 23:00,-2.496,0.96763473,328,11.237,,,,,,
1/5/2012 0:00,-2.744,0.96841482,329,11.198,,,,,,
1/5/2012 1:00,-3.142,0.96928602,329,10.821,,,,,,
1/5/2012 2:00,-3.083,0.96983869,329,10.165,,,,,,
1/5/2012 3:00,-1.401,0.97024531,329,8.9,,,,,,
1/5/2012 4:00,-0.267,0.97038311,316,7.172,,,,,,
1/5/2012 5:00,0.939,0.97037182,308,7.086,,,,,,
1/5/2012 6:00,2.15,0.97026112,299,6.459,,,,,,
1/5/2012 7:00,2.905,0.97008644,288,6.208,,,,,,
1/5/2012 8:00,3.284,0.96982666,278,5.49,,,,,,
1/5/2012 9:00,2.24,0.96947577,263,6.037,,,,,,
1/5/2012 10:00,-0.106,0.96915424,259,6.839,,,,,,
1/5/2012 11:00,-0.687,0.96898555,254,8.292,,,,,,
1/5/2012 12:00,-0.226,0.96894567,252,9.691,,,,,,
1/5/2012 13:00,-0.38,0.96886585,255,10.428,,,,,,
1/5/2012 14:00,-0.402,0.96836662,254,10.233,,,,,,
1/5/2012 15:00,-1.351,0.96770475,259,9.259,,,,,,
1/5/2012 16:00,-1.723,0.96708655,272,9.558,,,,,,
1/5/2012 17:00,-1.676,0.96664229,279,10.655,,,,,,
1/5/2012 18:00,-1.14,0.96625149,286,10.729,,,,,,
1/5/2012 19:00,-1.227,0.96598795,288,10.329,,,,,,
1/5/2012 20:00,-1.407,0.9657372,290,10.309,,,,,,
1/5/2012 21:00,-1.646,0.96544125,291,9.997,,,,,,
1/5/2012 22:00,-1.734,0.96519955,290,9.66,,,,,,
1/5/2012 23:00,-0.973,0.96498646,285,9.708,,,,,,
1/6/2012 0:00,-1.027,0.96477412,284,9.739,,,,,,
1/6/2012 1:00,-1.362,0.96432835,279,9.959,,,,,,
1/6/2012 2:00,-0.51,0.96378921,276,9.925,,,,,,
1/6/2012 3:00,2.23,0.96357312,272,9.074,,,,,,
1/6/2012 4:00,4.58,0.96303095,273,7.985,,,,,,
1/6/2012 5:00,6.577,0.9622667,265,7.59,,,,,,
1/6/2012 6:00,8.042,0.96144366,257,7.26,,,,,,
1/6/2012 7:00,8.877,0.96074038,254,7.264,,,,,,
1/6/2012 8:00,8.2,0.96012594,250,7.189,,,,,,
1/6/2012 9:00,6.067,0.95963725,249,8.004,,,,,,
1/6/2012 10:00,3.465,0.95918471,247,8.525,,,,,,
1/6/2012 11:00,2.64,0.95887071,252,9.489,,,,,,
1/6/2012 12:00,2.286,0.95862145,257,10.369,,,,,,
1/6/2012 13:00,2.108,0.95831427,264,8.602,,,,,,
1/6/2012 14:00,1.736,0.95807407,264,7.233,,,,,,
1/6/2012 15:00,1.532,0.95780677,271,7.517,,,,,,
1/6/2012 16:00,1.101,0.95723373,273,8.498,,,,,,
1/6/2012 17:00,1.12,0.95689638,290,8.23,,,,,,
1/6/2012 18:00,0.681,0.95681808,306,7.447,,,,,,
1/6/2012 19:00,0.659,0.95677968,325,6.17,,,,,,
1/6/2012 20:00,1.015,0.95692198,344,7.837,,,,,,
1/6/2012 21:00,1.705,0.95708991,346,9.274,,,,,,
1/6/2012 22:00,2.937,0.95722847,349,7.261,,,,,,
1/6/2012 23:00,2.725,0.95742122,345,6.897,,,,,,
1/7/2012 0:00,2.398,0.95785947,341,7.64,,,,,,
1/7/2012 1:00,2.02,0.95824949,352,9.847,,,,,,
1/7/2012 2:00,1.645,0.95854618,353,10.168,,,,,,
1/7/2012 3:00,3.297,0.95889558,350,8.92,,,,,,
1/7/2012 4:00,5.469,0.9592909,345,8.316,,,,,,
1/7/2012 5:00,6.228,0.95951678,338,6.725,,,,,,
1/7/2012 6:00,6.98,0.95974194,332,6.205,,,,,,
1/7/2012 7:00,7.781,0.95995653,326,6.147,,,,,,
1/7/2012 8:00,7.909,0.96031194,321,7.243,,,,,,
1/7/2012 9:00,7.176,0.96068164,322,8.654,,,,,,
1/7/2012 10:00,5.321,0.96106718,316,8.659,,,,,,
1/7/2012 11:00,3.481,0.96167482,313,10.038,,,,,,
1/7/2012 12:00,2.632,0.96231187,317,12.428,,,,,,
1/7/2012 13:00,2.766,0.96290371,312,13.872,,,,,,
1/7/2012 14:00,1.506,0.96346317,314,13.394,,,,,,
1/7/2012 15:00,0.061,0.96387658,317,12.368,,,,,,
1/7/2012 16:00,-0.433,0.96410019,320,11.876,,,,,,
1/7/2012 17:00,0.218,0.96453092,323,12.403,,,,,,
1/7/2012 18:00,0.337,0.96498871,319,11.904,,,,,,
1/7/2012 19:00,-0.293,0.96550754,315,10.516,,,,,,
1/7/2012 20:00,-0.509,0.96602711,311,9.352,,,,,,
1/7/2012 21:00,-0.674,0.96634788,313,9.396,,,,,,
1/7/2012 22:00,-0.895,0.96674168,317,9.451,,,,,,
1/7/2012 23:00,-1.287,0.9674555,318,8.765,,,,,,
1/8/2012 0:00,-1.604,0.96813243,315,8.451,,,,,,
1/8/2012 1:00,-1.668,0.96865048,316,8.605,,,,,,
1/8/2012 2:00,-1.2,0.96931687,318,7.969,,,,,,
1/8/2012 3:00,0.175,0.96976867,321,6.434,,,,,,
1/8/2012 4:00,1.219,0.97012106,326,5.915,,,,,,
1/8/2012 5:00,1.964,0.97038839,324,5.047,,,,,,
1/8/2012 6:00,2.547,0.97061354,320,4.132,,,,,,
1/8/2012 7:00,2.95,0.97075208,315,4.071,,,,,,
1/8/2012 8:00,3.113,0.97100735,316,4.279,,,,,,
1/8/2012 9:00,2.06,0.97116774,321,4.055,,,,,,
1/8/2012 10:00,-0.385,0.97133264,326,3.891,,,,,,
1/8/2012 11:00,-0.952,0.97169031,326,3.956,,,,,,
1/8/2012 12:00,-1.044,0.9721805,321,3.518,,,,,,
1/8/2012 13:00,-1.207,0.97265187,321,3.469,,,,,,
1/8/2012 14:00,-1.376,0.97291915,323,3.366,,,,,,
1/8/2012 15:00,-1.404,0.97301029,330,3.013,,,,,,
1/8/2012 16:00,-1.656,0.97319928,337,2.163,,,,,,
