Crew type ID,Operation,Crew name,Labor type ID,Number of workers
M0,Management,Management - project size,Project manager,1
M0,Management,Management - project size,Site manager,1
M0,Management,Management - project size,Construction manager,1
M0,Management,Management - project size,Project engineer,1
M0,Management,Management - project size,Safety or qc manager,1
M0,Management,Management - project size,Logistics manager,1
M0,Management,Management - project size,Office admin,1
M1,Management,Management - rate construction,Tool room,1
M1,Management,Management - rate construction,Electrician,2
MC0,Mechanical completion,Mechanical completion,QC/QA tech,2
MC0,Mechanical completion,Mechanical completion,Electrician,1
C0,Offload,Offload can tower,Crane operator,2
C0,Offload,Offload can tower,Oiler,2
C0,Offload,Offload can tower,Iron worker,3
C0,Offload,Offload can tower,Rigger foreman,1
C5,Base,Base 300t,Crane operator,2
C5,Base,Base 300t,Oiler,2
C5,Base,Base 300t,Iron worker,3
C5,Base,Base 300t,Truck driver,1
C5,Base,Base 300t,Rigger foreman,1
C5,Base,Base 400t,Crane operator,2
C5,Base,Base 400t,Oiler,2
C5,Base,Base 400t,Iron worker,3
C5,Base,Base 400t,Truck driver,1
C5,Base,Base 400t,Rigger foreman,1
C1,Base,Base 500t,Crane operator,2
C1,Base,Base 500t,Oiler,2
C1,Base,Base 500t,Iron worker,3
C1,Base,Base 500t,Truck driver,1
C1,Base,Base 500t,Rigger foreman,1
C6,Top,Top 400t,Crane operator,2
C6,Top,Top 400t,Oiler,2
C6,Top,Top 400t,Iron worker,6
C6,Top,Top 400t,Truck driver,1
C6,Top,Top 400t,Rigger foreman,1
C1,Top,Top 500t,Crane operator,2
C1,Top,Top 500t,Oiler,2
C1,Top,Top 500t,Iron worker,6
C1,Top,Top 500t,Truck driver,1
C1,Top,Top 500t,Rigger foreman,1
C2,Top,Top 600t,Crane operator,2
C2,Top,Top 600t,Oiler,2
C2,Top,Top 600t,Iron worker,6
C2,Top,Top 600t,Truck driver,1
C2,Top,Top 600t,Rigger foreman,1
C3,Top,Top 750t,Crane operator,2
C3,Top,Top 750t,Oiler,2
C3,Top,Top 750t,Iron worker,6
C3,Top,Top 750t,Truck driver,1
C3,Top,Top 750t,Rigger foreman,1
C4,Top,Top 1000t,Crane operator,2
C4,Top,Top 1000t,Oiler,2
C4,Top,Top 1000t,Iron worker,6
C4,Top,Top 1000t,Truck driver,1
C4,Top,Top 1000t,Rigger foreman,1
C1,Base,Top 500t,Crane operator,2
C1,Base,Top 500t,Oiler,2
C1,Base,Top 500t,Iron worker,6
C1,Base,Top 500t,Truck driver,1
C1,Base,Top 500t,Rigger foreman,1
C2,Base,Top 600t,Crane operator,2
C2,Base,Top 600t,Oiler,2
C2,Base,Top 600t,Iron worker,6
C2,Base,Top 600t,Truck driver,1
C2,Base,Top 600t,Rigger foreman,1
C3,Base,Top 750t,Crane operator,2
C3,Base,Top 750t,Oiler,2
C3,Base,Top 750t,Iron worker,6
C3,Base,Top 750t,Truck driver,1
C3,Base,Top 750t,Rigger foreman,1
C4,Base,Top 1000t,Crane operator,2
C4,Base,Top 1000t,Oiler,2
C4,Base,Top 1000t,Iron worker,6
C4,Base,Top 1000t,Truck driver,1
C4,Base,Top 1000t,Rigger foreman,1
C0,Base,Offload can tower,Crane operator,2
C0,Base,Offload can tower,Oiler,2
C0,Base,Offload can tower,Iron worker,3
C0,Base,Offload can tower,Rigger foreman,1
