Project ID with serial,Number of turbines,Breakpoint between base and topping (percent),Turbine rating MW,Crane breakdown fraction,Labor cost multiplier,Hub height m,Base crane choice,Offload crane choice,Top crane choice,Base total cost,Offload total cost,Top total cost,Base wind multiplier,Offload wind multiplier,Top wind multiplier,Base operation time all turbines (hours),Offload operation time all turbines (hours),Top operation time all turbines (hours)
Baseline 1.5MW 91m RD 80m HH_0980,13.0,0.0,1.5,0.0,0.5,80,,LB 75 Hydraulic,LR1500 SL3F,,88554.0,630093.0,,1.0,1.56,,34.0,119.0
Baseline 1.5MW 91m RD 80m HH_0981,33.0,0.4375,1.5,0.0,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,57044.0,165453.0,930784.0,1.26,1.0,1.59,34.0,87.0,268.0
Baseline 1.5MW 91m RD 80m HH_0982,67.0,0.4375,1.5,0.0,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,95922.0,294274.0,1480245.0,1.26,1.0,1.59,68.0,176.0,545.0
Baseline 1.5MW 91m RD 80m HH_0983,100.0,0.4375,1.5,0.0,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,132966.0,418137.0,2015029.0,1.26,1.0,1.59,102.0,262.0,813.0
Baseline 1.5MW 91m RD 80m HH_0984,133.0,0.4375,1.5,0.0,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,170010.0,543590.0,2548640.0,1.26,1.0,1.59,135.0,349.0,1082.0
Baseline 1.5MW 91m RD 80m HH_0985,267.0,0.4375,1.5,0.0,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,321045.0,1050547.0,4718304.0,1.26,1.0,1.59,271.0,700.0,2171.0
Baseline 1.5MW 91m RD 80m HH_0986,667.0,0.4375,1.5,0.0,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,772099.0,2564684.0,11194421.0,1.26,1.0,1.59,678.0,1749.0,5424.0
Baseline 1.5MW 91m RD 80m HH_0987,13.0,0.0,1.5,0.25,0.5,80,,LB 75 Hydraulic,LR1500 SL3F,,88554.0,983293.0,,1.0,1.56,,34.0,299.0
Baseline 1.5MW 91m RD 80m HH_0988,33.0,0.4375,1.5,0.25,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,57044.0,165453.0,1736824.0,1.26,1.0,1.59,34.0,87.0,673.0
Baseline 1.5MW 91m RD 80m HH_0989,67.0,0.4375,1.5,0.25,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,95922.0,294274.0,3004069.0,1.26,1.0,1.59,68.0,176.0,1310.0
Baseline 1.5MW 91m RD 80m HH_0990,100.0,0.4375,1.5,0.25,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,132966.0,418137.0,4254291.0,1.26,1.0,1.59,102.0,262.0,1938.0
Baseline 1.5MW 91m RD 80m HH_0991,133.0,0.4375,1.5,0.25,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,170010.0,543590.0,5595115.0,1.26,1.0,1.59,135.0,349.0,2612.0
Baseline 1.5MW 91m RD 80m HH_0992,267.0,0.4375,1.5,0.25,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,321045.0,1050547.0,10720651.0,1.26,1.0,1.59,271.0,700.0,5186.0
Baseline 1.5MW 91m RD 80m HH_0993,667.0,0.4375,1.5,0.25,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,772099.0,2564684.0,26156161.0,1.26,1.0,1.59,678.0,1749.0,12939.0
Baseline 1.5MW 91m RD 80m HH_0994,13.0,0.0,1.5,0.5,0.5,80,,LB 75 Hydraulic,LR1500 SL3F,,88554.0,1248194.0,,1.0,1.56,,34.0,434.0
Baseline 1.5MW 91m RD 80m HH_0995,33.0,0.4375,1.5,0.5,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,57044.0,165453.0,2453435.0,1.26,1.0,1.59,34.0,87.0,1033.0
Baseline 1.5MW 91m RD 80m HH_0996,67.0,0.4375,1.5,0.5,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,95922.0,294274.0,4526720.0,1.26,1.0,1.59,68.0,176.0,2075.0
Baseline 1.5MW 91m RD 80m HH_0997,100.0,0.4375,1.5,0.5,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,132966.0,418137.0,6494726.0,1.26,1.0,1.59,102.0,262.0,3063.0
Baseline 1.5MW 91m RD 80m HH_0998,133.0,0.4375,1.5,0.5,0.5,80,LB 258 Hydraulic,LB 75 Hydraulic,LR1500 SL3F,170010.0,543590.0,8552161.0,1.26,1.0,1.59,135.0,349.0,4097.0
