Project ID with serial,Module,Variable name,Unit,Numeric value,Non-numeric value
foundation_validation_ge15,FoundationCost,wind_multiplier,,1.0,
foundation_validation_ge15,FoundationCost,F_dead,kN,1798.08695652174,
foundation_validation_ge15,FoundationCost,F_horiz,kN,624.8822519784526,
foundation_validation_ge15,FoundationCost,M_tot_kN,kN_m,47120.0,
foundation_validation_ge15,FoundationCost,Radius_o,m,7.365382452356683,
foundation_validation_ge15,FoundationCost,Radius_g,m,0.0,
foundation_validation_ge15,FoundationCost,Radius_b,m,7.164040491294042,
foundation_validation_ge15,FoundationCost,Radius,m,7.365382452356683,
foundation_validation_ge15,FoundationCost,foundation_volume_concrete_m3_per_turbine,m^3,180.9943404451053,
foundation_validation_ge15,FoundationCost,steel_mass_short_ton_per_turbine,short_ton,20.611635489888595,
foundation_validation_ge15,FoundationCost,foundation_volume_concrete_m3_per_turbine,m^3,180.9943404451053,
foundation_validation_ge15,FoundationCost,operation_data: Operation ID-Number of days-Number of crews-Number of workers,,,Rebar installation-1649-19.0-1.0
foundation_validation_ge15,FoundationCost,operation_data: Operation ID-Number of days-Number of crews-Number of workers,,,Concrete placement-117-2.0-3.0
foundation_validation_ge15,FoundationCost,operation_data: Operation ID-Number of days-Number of crews-Number of workers,,,Excavation-60-1.0-nan
foundation_validation_ge15,FoundationCost,operation_data: Operation ID-Number of days-Number of crews-Number of workers,,,Backfill-37-1.0-1.0
foundation_validation_ge15,FoundationCost,material_needs_per_turbine: Material type ID-Quantity of material,ton (short),,0-Steel - rebar-2.06e+01
foundation_validation_ge15,FoundationCost,material_needs_per_turbine: Material type ID-Quantity of material,cubic yards,,1-Concrete 5000 psi-2.33e+02
foundation_validation_ge15,FoundationCost,material_needs_per_turbine: Material type ID-Quantity of material,cubic_yards,,2-Excavated dirt-6.00e+02
foundation_validation_ge15,FoundationCost,material_needs_per_turbine: Material type ID-Quantity of material,cubic_yards,,3-Backfill-6.00e+02
